YEAR,    JAN,    FEB,    MAR,    APR,    MAY,    JUN,    JUL,    AUG,    SEP,    OCT,    NOV,    DEC,   D-J-F,   M-A-M,   J-J-A,   S-O-N,  metANN
1914,   -3.7,   -0.9,    7.1,   13.6,   16.2,   19.0,   20.6,   20.7,   15.1,   10.3,    3.8,    3.6,    -0.5,    12.3,    20.1,     9.7,   10.40
1915,    2.5,    2.4,    3.8,   11.3,   17.7,   21.2,   20.9,   19.1,   14.1,    9.9,    3.6,    5.4,     2.8,    10.9,    20.4,     9.2,   10.84
1916,    4.1,    1.7,    9.5,   11.8,   16.8,   18.4,   21.5,   20.4,   15.3,   10.9,    7.1,    4.8,     3.7,    12.7,    20.1,    11.1,   11.91
1917,    0.8,   -3.8,    4.2,    9.5,   17.5,   22.4,   23.1,   23.1,   18.5,   11.9,    7.2,   -0.7,     0.6,    10.4,    22.9,    12.5,   11.60
1918,    1.4,    2.0,    7.0,   14.2,   17.1,   18.1,   21.4,   20.4,   17.6,   11.7,    3.7,    2.0,     0.9,    12.8,    20.0,    11.0,   11.16
1919,    2.8,    1.7,    6.9,   10.9,   12.6,   19.3,   20.0,   20.9,   18.9,   10.3,    3.8,    1.6,     2.2,    10.1,    20.1,    11.0,   10.84
1920,    3.4,    2.7,    8.6,   14.9,   19.2,   18.5,   22.5,   19.4,   16.8,    8.6,    0.8,    3.0,     2.6,    14.2,    20.1,     8.7,   11.42
1921,    4.9,    2.1,    7.8,   11.2,   18.3,   18.7,   23.1,   22.3,   16.6,   12.1,    3.0,    1.3,     3.3,    12.4,    21.4,    10.6,   11.93
1922,   -1.2,   -1.9,    7.4,   10.1,   17.5,   21.1,   21.9,   21.3,   14.7,    9.2,    2.9,    1.0,    -0.6,    11.7,    21.4,     8.9,   10.36
1923,    2.1,    2.1,    7.4,   10.1,   18.2,   17.2,   22.7,   21.7,   17.6,   14.2,    7.2,    1.5,     1.7,    11.9,    20.5,    13.0,   11.79
1924,   -2.8,   -0.1,    5.2,   10.1,   18.9,   20.4,   21.4,   19.6,   18.2,   11.8,    3.6,    0.3,    -0.5,    11.4,    20.5,    11.2,   10.65
1925,    0.5,    6.0,    5.5,   11.9,   18.5,   18.7,   21.9,   21.0,   15.1,   12.0,    6.3,   -2.0,     2.3,    12.0,    20.5,    11.1,   11.47
1926,    0.5,    5.3,    6.1,   13.3,   16.1,   18.3,   21.1,   19.3,   18.2,   12.5,   10.7,    2.4,     1.3,    11.8,    19.6,    13.8,   11.62
1927,    3.0,    1.0,    8.9,   11.2,   15.6,   21.3,   22.9,   22.0,   17.8,   10.9,    6.5,   -2.8,     2.1,    11.9,    22.1,    11.7,   11.96
1928,   -0.1,    2.4,    4.8,   12.2,   14.0,   19.2,   24.9,   22.7,   17.4,   11.5,    8.2,    0.8,    -0.2,    10.3,    22.3,    12.4,   11.20
1929,   -3.6,   -7.4,    2.6,    7.9,   17.9,   19.2,   22.4,   23.5,   17.6,   13.2,    7.5,    3.4,    -3.4,     9.5,    21.7,    12.8,   10.13
1930,    0.5,    1.8,    7.9,   12.8,   16.1,   22.4,   22.1,   20.7,   18.4,   11.7,    8.1,    1.7,     1.9,    12.3,    21.7,    12.7,   12.16
1931,    0.6,    2.0,    2.4,    9.4,   19.6,   22.3,   23.7,   20.6,   13.2,   10.4,    5.0,    0.0,     1.4,    10.5,    22.2,     9.5,   10.91
1932,   -1.0,   -2.0,    1.9,   11.5,   17.4,   18.9,   23.6,   22.1,   20.6,   12.9,    5.4,    1.2,    -1.0,    10.3,    21.5,    13.0,   10.94
1933,   -1.9,    2.5,    7.2,    9.8,   15.7,   18.1,   22.7,   21.7,   16.5,   11.5,    5.9,   -3.9,     0.6,    10.9,    20.8,    11.3,   10.91
1934,   -1.3,    1.8,    9.9,   14.8,   19.4,   19.5,   22.6,   21.9,   18.7,   12.0,    7.3,    5.3,    -1.1,    14.7,    21.3,    12.7,   11.89
1935,   -1.8,    0.9,    5.0,   11.5,   15.4,   22.4,   22.4,   20.7,   16.9,   14.1,    5.2,    1.7,     1.5,    10.6,    21.8,    12.1,   11.50
1936,    4.2,    2.7,    8.9,   11.8,   17.9,   20.0,   24.1,   19.9,   16.3,    8.1,    5.5,    1.0,     2.9,    12.9,    21.3,    10.0,   11.76
1937,   -2.3,    2.1,    7.9,   11.0,   19.5,   21.3,   22.1,   21.3,   18.2,   12.1,    5.9,    0.9,     0.3,    12.8,    21.6,    12.1,   11.68
1938,    0.0,    2.9,    9.6,    9.3,   15.4,   22.1,   22.5,   21.3,   16.1,   13.0,    7.6,    0.3,     1.3,    11.4,    22.0,    12.2,   11.73
1939,    1.7,    3.8,    3.9,   14.6,   16.0,   21.1,   22.9,   22.0,   16.8,   10.3,    6.5,    1.0,     1.9,    11.5,    22.0,    11.2,   11.66
1940,   -6.8,   -4.6,    2.8,   11.9,   14.8,   19.8,   21.2,   18.2,   16.6,   11.2,    8.4,   -2.8,    -3.5,     9.8,    19.7,    12.1,    9.54
1941,   -2.1,    2.5,    6.6,   10.7,   14.2,   19.1,   21.3,   20.3,   15.1,   10.3,    3.1,    2.2,    -0.8,    10.5,    20.2,     9.5,    9.86
1942,   -8.3,   -1.9,    3.2,   10.2,   17.0,   20.1,   21.3,   21.6,   21.0,   13.1,    4.9,    2.6,    -2.7,    10.1,    21.0,    13.0,   10.37
1943,   -3.9,    3.7,    7.8,   13.1,   15.7,   18.5,   22.1,   24.2,   19.1,   13.9,    5.2,    1.7,     0.8,    12.2,    21.6,    12.7,   11.83
1944,    3.2,    1.2,    3.1,   12.0,   15.4,   19.2,   21.3,   23.2,   17.0,   13.1,    5.7,    0.6,     2.0,    10.2,    21.2,    11.9,   11.34
1945,   -3.3,    2.2,    7.1,   12.6,   18.7,   21.4,   22.9,   21.7,   17.5,   10.9,    5.7,    1.8,    -0.2,    12.8,    22.0,    11.4,   11.50
1946,   -2.6,    2.9,    7.6,   14.7,   19.5,   21.6,   24.1,   23.4,   19.0,    8.1,    6.2,    0.0,     0.7,    13.9,    23.0,    11.1,   12.19
1947,   -5.5,   -1.7,    6.8,   14.3,   18.5,   21.7,   24.0,   22.7,   21.2,   10.7,    7.2,    2.7,    -2.4,    13.2,    22.8,    13.0,   11.66
1948,    4.3,    1.2,    7.4,   14.0,   18.6,   19.1,   20.4,   21.8,   18.6,   12.4,    4.4,   -2.4,     2.7,    13.3,    20.4,    11.8,   12.08
1949,    1.9,    2.8,    4.6,   13.8,   18.1,   18.9,   21.9,   20.9,   18.8,   12.6,    7.6,    3.6,     0.8,    12.2,    20.6,    13.0,   11.63
1950,   -2.1,    1.9,    8.2,   12.6,   19.1,   22.0,   24.5,   22.8,   17.7,   10.0,    6.2,    3.8,     1.1,    13.3,    23.1,    11.3,   12.21
1951,    2.9,    4.2,    6.4,   12.5,   16.7,   20.9,   22.5,   23.0,   18.7,   10.3,    8.3,    2.3,     3.6,    11.9,    22.1,    12.4,   12.52
1952,    1.3,    1.6,    2.9,   15.2,   15.9,   20.6,   24.3,   24.1,   15.8,   10.7,    4.7,    0.9,     1.7,    11.3,    23.0,    10.4,   11.62
1953,    1.4,    2.5,    6.9,   12.6,   15.8,   20.6,   23.1,   20.0,   18.4,   12.9,    4.6,    1.1,     1.6,    11.8,    21.2,    12.0,   11.64
1954,   -4.7,   -4.4,    6.9,    9.4,   16.4,   21.8,   20.0,   21.5,   18.6,   11.1,    5.2,    4.0,    -2.7,    10.9,    21.1,    11.6,   10.24
1955,   -0.9,    1.3,    4.6,    8.9,   15.5,   19.4,   21.3,   20.0,   17.2,   11.2,    5.8,    3.6,     1.5,     9.7,    20.2,    11.4,   10.69
1956,    1.6,   -7.1,    3.0,   11.2,   16.1,   18.9,   22.0,   21.1,   17.3,   10.6,    2.4,    1.6,    -0.6,    10.1,    20.7,    10.1,   10.06
1957,   -1.2,    4.4,    7.5,   12.1,   13.8,   22.2,   22.3,   20.2,   16.2,   10.8,    6.8,    1.4,     1.6,    11.1,    21.6,    11.3,   11.39
1958,   -0.2,    3.6,    1.9,    9.3,   20.7,   18.6,   22.2,   21.8,   17.2,   11.5,    6.7,    3.5,     1.6,    10.6,    20.9,    11.8,   11.23
1959,    0.2,    0.6,    8.6,   12.0,   16.5,   19.4,   22.8,   21.1,   15.8,   10.5,    5.9,    4.2,     1.4,    12.4,    21.1,    10.7,   11.41
1960,   -1.1,    0.4,    7.0,   11.6,   15.9,   20.7,   20.0,   21.2,   15.8,   12.5,    8.1,    4.5,     1.2,    11.5,    20.6,    12.1,   11.36
1961,   -0.9,    2.9,    9.5,   14.6,   14.9,   20.7,   20.2,   21.4,   19.3,   13.8,    6.7,    0.5,     2.2,    13.0,    20.8,    13.3,   12.30
1962,    0.9,    1.1,    2.6,   13.2,   14.9,   18.3,   20.1,   23.3,   16.4,   11.8,    6.2,   -1.7,     0.8,    10.2,    20.6,    11.5,   10.78
1963,   -5.3,   -3.2,    3.4,   12.9,   17.1,   20.7,   23.4,   21.6,   17.8,   11.2,    9.1,   -3.2,    -3.4,    11.1,    21.9,    12.7,   10.58
1964,   -5.7,    0.9,    3.3,   12.9,   16.2,   22.4,   21.9,   19.6,   16.6,   11.1,    7.6,    0.8,    -2.7,    10.8,    21.3,    11.8,   10.30
1965,    0.8,   -1.4,    6.1,   10.2,   14.7,   19.1,   20.6,   18.9,   17.0,   10.4,    3.0,    2.0,     0.1,    10.3,    19.5,    10.1,   10.02
1966,   -2.9,    7.0,    6.6,   13.4,   16.7,   19.5,   20.4,   20.1,   16.8,   15.3,    5.4,    2.3,     2.0,    12.2,    20.0,    12.5,   11.69
1967,   -1.3,    2.6,    7.8,   11.4,   16.9,   19.4,   23.4,   21.6,   18.8,   13.2,    5.5,    0.9,     1.2,    12.0,    21.5,    12.5,   11.80
1968,   -1.1,    3.8,    7.0,   13.6,   17.4,   21.3,   21.5,   20.0,   16.8,   11.6,    7.4,   -1.0,     1.2,    12.7,    20.9,    11.9,   11.68
1969,   -2.1,    0.4,    4.4,   11.3,   19.2,   18.7,   21.9,   19.9,   17.5,   12.4,    8.1,   -1.4,    -0.9,    11.6,    20.2,    12.7,   10.89
1970,   -1.2,    0.6,    4.8,   11.0,   14.9,   20.6,   20.9,   20.4,   16.5,   10.7,    7.8,    0.9,    -0.7,    10.2,    20.6,    11.7,   10.47
1971,   -1.3,    2.8,    3.6,   12.1,   18.6,   18.7,   21.8,   22.5,   14.7,   10.5,    5.1,    3.8,     0.8,    11.4,    21.0,    10.1,   10.83
1972,   -0.7,    3.7,    8.5,   12.5,   16.0,   20.6,   22.1,   19.5,   14.0,    9.3,    5.7,    1.4,     2.3,    12.3,    20.7,     9.7,   11.25
1973,   -0.2,    2.9,    6.4,   10.1,   17.9,   19.6,   21.2,   21.8,   17.8,   10.1,    3.5,    0.5,     1.4,    11.5,    20.9,    10.5,   11.04
1974,    1.7,    5.4,    9.5,   11.6,   15.0,   17.9,   20.6,   22.7,   16.7,    7.8,    5.8,    3.9,     2.5,    12.0,    20.4,    10.1,   11.27
1975,    2.9,    1.6,    8.3,   11.1,   18.1,   19.2,   21.2,   20.6,   18.5,   10.9,    3.9,    1.6,     2.8,    12.5,    20.3,    11.1,   11.68
1976,    1.2,    0.5,    3.2,   12.3,   16.3,   19.9,   22.9,   18.5,   15.2,   11.7,    7.0,    0.6,     1.1,    10.6,    20.4,    11.3,   10.86
1977,    0.3,    4.4,    9.4,    9.9,   16.7,   20.4,   20.4,   19.6,   14.7,   12.4,    6.2,   -0.4,     1.8,    12.0,    20.1,    11.1,   11.25
1978,    0.7,    0.5,    7.6,   10.4,   14.2,   18.8,   19.4,   19.1,   15.4,  999.9,    2.6,    1.6,     0.3,    10.7,    19.1,     9.0,    9.79
1979,   -2.3,    2.4,    8.2,   10.4,   17.7,   22.3,   19.4,   20.1,   17.3,    9.6,    5.9,    4.4,     0.6,    12.1,    20.6,    10.9,   11.05
1980,   -2.8,    2.2,    5.2,    9.0,   14.1,   18.3,   19.4,   20.0,   15.4,   10.8,    3.8,    0.9,     1.3,     9.4,    19.2,    10.0,    9.98
1981,   -1.7,    2.2,    9.2,   11.1,   16.4,   20.3,   20.6,   20.7,   17.3,   12.0,    5.3,   -0.2,     0.5,    12.2,    20.5,    11.5,   11.19
1982,   -3.1,    0.0,    6.6,    9.2,   17.1,   20.2,   21.5,   21.5,   20.1,   12.2,    5.7,    3.6,    -1.1,    11.0,    21.1,    12.7,   10.90
1983,    4.5,    0.2,    7.7,   13.4,   18.1,   19.9,   24.2,   21.4,   17.2,   11.1,    3.1,    1.2,     2.8,    13.1,    21.8,    10.5,   12.03
1984,    0.8,    1.3,    5.6,   11.0,   15.2,   17.6,   19.1,   20.0,   16.8,   12.1,    5.5,    0.2,     1.1,    10.6,    18.9,    11.5,   10.52
1985,   -3.9,   -3.7,    5.2,   11.6,   16.9,   16.8,   21.6,   21.7,   17.0,   11.2,    4.2,    4.5,    -2.5,    11.2,    20.0,    10.8,    9.90
1986,    0.9,   -2.2,    4.5,   13.3,   18.7,   19.4,   20.7,   22.5,   17.1,   11.3,    5.5,    0.1,     1.1,    12.2,    20.9,    11.3,   11.35
1987,   -3.5,    1.5,    1.2,   11.5,   14.3,   19.9,   22.7,   19.2,   18.9,   12.3,    6.3,    3.0,    -0.6,     9.0,    20.6,    12.5,   10.37
1988,    3.2,    3.9,    5.2,   11.4,   17.3,   19.2,   23.2,   21.5,   16.6,   11.0,    1.2,    3.4,     3.4,    11.3,    21.3,     9.6,   11.39
